model_id,lower,median,upper,one_sigma_plus,one_sigma_minus,median_rounded,display_name
rinna-3.6b-sft,550.691717236718,568.3442859582593,585.8280838822321,17.483797923972816,17.652568721541343,568.0,rinna-3.6b (SFT)
rinna-3.6b-ppo,575.7831569787468,593.9876736054194,612.3878646118166,18.400191006397108,18.20451662667267,594.0,rinna-3.6b (PPO)
weblab-10b-instruction-sft,710.6272961556613,724.4463985751879,739.1129302077185,14.666531632530564,13.819102419526644,724.0,weblab-10b
jslm7b-instruct-alpha,813.6436392434507,827.1147789265617,839.4347314496947,12.319952523132997,13.471139683111005,827.0,ja-stablelm-7b
line-3.6b-sft,850.7838994492859,864.5832331379095,877.762865485169,13.179632347259485,13.79933368862362,865.0,line-3.6b
super-trin,949.8989832150148,962.9781638667141,976.3288048465215,13.350640979807395,13.07918065169929,963.0,super-trin
chatntq-7b-jpntuned,1057.7597023459814,1070.0855839048113,1082.1797802032647,12.094196298453426,12.325881558829906,1070.0,chatntq-7b-jpntuned
rwkv-world-jp-v1,1091.9440992693787,1104.0298659741932,1115.446028498007,11.41616252381391,12.085766704814432,1104.0,rwkv-world-7b (jp-v1)
elyza-7b-instruct,1105.3684038013828,1117.846541440636,1127.9954177935742,10.14887635293826,12.478137639253191,1118.0,elyza-7b-instruct
elyza-7b-fast-instruct,1124.3733283997053,1135.9666155614013,1147.4486804201883,11.482064858786998,11.593287161696026,1136.0,elyza-7b-fast
stablebeluga2,1135.5557488350078,1151.0830925746334,1164.2746307915797,13.191538216946356,15.527343739625621,1151.0,llama2-70b (StableBeluga2)
gpt-3.5-turbo-0301-20230614,1219.6674274306251,1231.6761264289887,1243.6544483404405,11.978321911451758,12.00869899836357,1232.0,gpt-3.5
claude-2,1243.4888250894157,1257.4306539241702,1270.0072498113313,12.576595887161147,13.94182883475446,1257.0,claude-2
gpt-4-20230713,1377.2212659360998,1392.8917303357848,1407.092624197287,14.200893861502209,15.670464399684988,1393.0,gpt-4
